M=SL_NWP_Log
V=2026/06/16-16:38:02
526 SL_LOG_SIGNAL_LOST_DID  common: Signal lost: %d
574 BT_A2DP_TASK_A2DP_EVENT_CONNECTED  BT_BLE_STACK:
575 BT_A2DP_TASK_A2DP_EVENT_DISCONNECTED  BT_BLE_STACK:
576 BT_A2DP_TASK_A2DP_EVENT_DISCOVERY_CMD  BT_BLE_STACK:
577 BT_A2DP_TASK_A2DP_EVENT_GET_CAPABILITIES_CMD  BT_BLE_STACK:
578 BT_A2DP_TASK_A2DP_EVENT_GET_ALL_CAPABILITIES_CMD  BT_BLE_STACK:
579 BT_A2DP_TASK_A2DP_EVENT_GET_CAPABILITIES_RESP  BT_BLE_STACK:
580 BT_A2DP_TASK_A2DP_EVENT_GET_ALL_CAPABILITIES_RESP  BT_BLE_STACK:
581 BT_A2DP_TASK_A2DP_EVENT_SET_CONFIG_RESP  BT_BLE_STACK:
582 BT_A2DP_TASK_A2DP_EVENT_STREAM_START_RESP  BT_BLE_STACK:
583 BT_A2DP_TASK_A2DP_EVENT_CMD_STREAM_SUSPEND  BT_BLE_STACK:
584 BT_A2DP_TASK_A2DP_EVENT_STREAM_SUSPEND_RESP  BT_BLE_STACK:
585 BT_A2DP_TASK_A2DP_EVENT_RECONFIG_CMD  BT_BLE_STACK:
586 BT_A2DP_TASK_A2DP_EVENT_RECONFIG_RESP  BT_BLE_STACK:
587 BT_AVDTP_STREAMCTRL_INFO  BT_BLE_STACK: SID: %b,ACP_SEID: %b
588 BT_AVDTP_RXPKTHNDLR_EVENT_TRIGGER  BT_BLE_STACK: PT: %1x
589 BT_HCI_ACL_PKTTX_RAM_DEVBUFSEM_FAIL  BT_BLE_STACK: ER: %4x
590 BT_HCI_CMDTX_RAM_INFO  BT_BLE_STACK: O: %2x,CMD_L: %02x
591 BT_HCI_CMDTX_RAM_SEMAPHORE_FAIL  BT_BLE_STACK: ER: %4x
592 HCI_COMMAND_COMPLETE_EVENT_ERROR  BT_BLE_STACK: OP: %2x,St: %1x,BUF_L: %2x
593 SL_BT_L2CAP_SOFT_TIMER_EXPIRY_FLUSH_BLE_PKTS  BT_BLE_STACK:
594 SL_BT_L2CAP_SOFT_TIMER_EXPIRY_FLUSH_BT_PKTS  BT_BLE_STACK:
595 SL_BT_REASSEMBLY_ACL_PKT_INVALID_PACKET  BT_BLE_STACK:
596 SL_BT_REASSEMBLY_RECVD_FRAG_PKT_FIRST  BT_BLE_STACK:
597 SL_BT_FLUSH_BUFFERED_FRAGMENTS  BT_BLE_STACK:
598 SL_BT_PROCESS_ACL_CNTL_PKT  BT_BLE_STACK:
599 BT_LE_EVENTPKTHNDLR_RAM_INFO  BT_BLE_STACK: O: %1x
600 SL_BT_LE_L2CAP_Conn_Param_Update_Req  BT_BLE_STACK: Mi_Intrvl: %2x,Mx_Intrvl: %2x
601 SL_BT_LE_L2CAP_Conn_Param_Update_Req_Timeout  BT_BLE_STACK: T_Out: %2x,Slv_Lat: %2x
602 SL_BT_LE_L2CAP_Conn_Param_Update_Resp  BT_BLE_STACK: RSLT: %2x
603 SL_BT_LE_ATT_Exchange_MTU_Request  BT_BLE_STACK: Mx_MTU_Sz: %2x
604 SL_BT_LE_ATT_Exchange_MTU_Response  BT_BLE_STACK: Mx_MTU_Sz: %2x
605 SL_BT_LE_ATT_Find_Info_Request_Pkt_Send  BT_BLE_STACK: StrtHndl: %2x,EndHndl: %2x
606 SL_BT_LE_ATT_Find_Info_Response  BT_BLE_STACK: info_data: %1x
607 SL_BT_LE_ATT_Find_By_Type_Value_Response  BT_BLE_STACK: StrtHndl: %2x,EndHndl: %2x
608 SL_BT_LE_ATT_Find_By_Type_Request_Pkt_Send  BT_BLE_STACK: StrtHndl: %2x,EndHndl: %2x
609 SL_BT_LE_ATT_Read_By_Type_Response  BT_BLE_STACK:
610 SL_BT_LE_ATT_Read_Request_Pkt_Send  BT_BLE_STACK: att_hndl: %1x
611 SL_BT_LE_ATT_Read_Response  BT_BLE_STACK:
612 SL_BT_LE_ATT_Read_By_Group_Type_Request  BT_BLE_STACK: StrtHndl: %2x,EndHndl: %2x
613 SL_BT_LE_ATT_Read_By_Group_Type_Response  BT_BLE_STACK:
614 SL_BT_LE_ATT_Write_Request_Pkt_Send  BT_BLE_STACK: att_hndl: %2x
615 SL_BT_LE_ATT_Write_Response  BT_BLE_STACK:
616 SL_BT_LE_ATT_Write_Command  BT_BLE_STACK: att_hndl: %2x
617 SL_BT_LE_ATT_Execute_Write_Req_Pkt_Send  BT_BLE_STACK:
618 SL_BT_LE_ATT_Execute_Write_Resp  BT_BLE_STACK:
619 SL_BT_LE_SMP_Pairing_Request  BT_BLE_STACK: IO_Cap: %1x,OOB_Auth_Dat: %1x,auth_req: %1x
620 SL_BT_LE_SMP_Pairing_Response  BT_BLE_STACK: IO_Cap: %1x,OOB_Auth_Dat: %1x,auth_req: %1x
621 SL_BT_LE_SMP_Pairing_Confirm  BT_BLE_STACK: p_cnfm_val: %1x
622 SL_BT_LE_SMP_Pairing_Random  BT_BLE_STACK: p_random_data: %1x
623 SL_BT_LE_SMP_Pairing_Failed  BT_BLE_STACK: rsn: %1x
624 SL_BT_LE_SMP_Encript_Info  BT_BLE_STACK: p_long_trm_key: %1x
625 SL_BT_LE_Master_Identification  BT_BLE_STACK: evid: %2x,p_rand_nbr: %1x
626 SL_BT_LE_SMP_Identification_Info  BT_BLE_STACK: p_id_nbr: %1x
627 SL_BT_LE_SMP_Identity_Addr_Info  BT_BLE_STACK: addr_type: %1x,p_local_addr: %s
628 SL_BT_LE_SMP_Signing_Info  BT_BLE_STACK: p_sign_info: %1x
629 SL_BT_LE_SMP_Security_Request  BT_BLE_STACK: auth: %1x
630 BT_RADIO_EXIT  BT_BLE_CTRL:
631 BT_RAM_ASSRT_UNUSED_PROTOCOL_MODE  BT_BLE_CTRL:
632 BT_RAM_ASSRT_BAND_NOT_PROGRMD  BT_BLE_CTRL:
633 BT_RAM_ASSRT_DEBUG_IT  BT_BLE_CTRL:
634 BT_RADIO_ENTRY  BT_BLE_CTRL:
635 BT_RAM_ASSRT_INVLD_STATE  BT_BLE_CTRL:
636 BLE_RAM_ASSRT_CHECK_WHY_NODE_IS_DELETED  BT_BLE_CTRL:
637 BLE_RAM_ASSRT_CMD_Q_PATCH_LE_LC_STOP_ADVERTISING  BT_BLE_CTRL:
638 BLE_RAM_ASSRT_TX_DMA_CHANNEL_BUSY_ERROR  BT_BLE_CTRL:
639 BLE_RAM_ASSRT_RX_DMA_CHANNEL_BUSY_ERROR  BT_BLE_CTRL:
640 BLE_RAM_ASSRT_MULTIPLE_BITS_IN_EXT_CMD_BITMAP  BT_BLE_CTRL:
641 BLE_SL_RX_NT_RCVD_CONN_STATE  BT_BLE_CTRL: cec:%d, s:%02x
642 BLE_RAM_ASSRT_WAIT_FOR_RX_CMPLTD_WO_RADIO  BT_BLE_CTRL:
643 BLE_RAM_ASSRT_TIMR_IN_STNDBY_STATE  BT_BLE_CTRL:
644 BLE_RAM_ASSRT_UNXPCTD_STATE  BT_BLE_CTRL:
645 BLE_RAM_ASSRT_TMR_INT_H1_SCHEDULER_STUCK  BT_BLE_CTRL: SlaveID %02x, state %02x
646 BLE_RAM_ASSRT_TMR_INT_H1_TX_RX_IN_PROGRESS  BT_BLE_CTRL:
647 BLE_PERMSN_SOC_TURNOFF  BT_BLE_CTRL:
648 BLE_RAM_ASSRT_HOW_IT_IS_SCHDLD  BT_BLE_CTRL:
649 BLE_RAM_ASSRT_SHLD_BE_SOME_VALUE  BT_BLE_CTRL:
650 BLE_RAM_ASSRT_GET_ROLE_ID_UNEXPECTED_STATE  BT_BLE_CTRL: state %02x
651 BLE_RAM_ASSRT_BLE_SCHEDULER_H1_HANDLER_DELAYED  BT_BLE_CTRL:
652 BLE_RAM_ASSRT_BLE_SCHEDULER_H1_HANDLER_WRONG_STATE  BT_BLE_CTRL:
653 BLE_SCHDLR_ROLE_SACRFCD_CONN_STATE  BT_BLE_CTRL: cec:%d, s:%b
654 BT_BLE_ERR_RX_ACL_PKT_FLOODED  BT_BLE_STACK: status: %4x
655 BT_BLE_ERR_RX_EVT_PKT_FLOODED  BT_BLE_STACK: status: %4x
656 BT_INIT_HEAP_VARIABLES_ACL_INFO  BT_BLE_STACK: ACL_PL_Sz: %d
657 BT_INIT_HEAP_VARIABLES_STACK_INFO  BT_BLE_STACK: STCK_H: %d,CTLR_H: %d,DYNMIC_H: %d
658 BT_INIT_HEAP_VARIABLES_STACK_SIZE  BT_BLE_STACK: BT_STCK_H_END: %d,BT_CTRL_H_END: %d,BT_DYNMIC_H_END: %d
659 BT_RAM_ASSERT_BUFFER_EMPTY_OR_OVERFLOWED  BT_BLE_CTRL: Avl_buff_cnt:%02x,Max_buff_cnt:%02x
660 BT_RAM_ASSRT_BT_TRYING_TO_ALLOCATE_ALREADY_ALLOCATED_BUFFER  BT_BLE_CTRL:
661 BT_RAM_ASSRT_BT_BLE_PKB_ALLOC_BUFFER_EMPTY_OR_OVERFLOWED  BT_BLE_CTRL:
662 BT_RAM_ASSRT_BT_PKB_FREE_CORE_NULL_BUFFER  BT_BLE_CTRL:
663 BT_RAM_ASSRT_BT_TRYING_TO_FREE_ALREADY_FREED_BUFFER  BT_BLE_CTRL:
664 BT_RAM_ASSRT_BT_BUFFER_OVERFLOW  BT_BLE_CTRL: Avl_buff_cnt:%02x,Max_buff_cnt:%02x
665 BT_RAM_ASSRT_BT_BLE_PKB_FREE_BUFFER_OVERFLOW  BT_BLE_CTRL:
666 BT_RAM_ASSRT_BT_MALLOC_MEMORY_ALLOCATION_OVERFLOWED  BT_BLE_CTRL:
667 BT_CNTRL_TX_HOSTQ_PATH  BT_BLE_CTRL: OGF:%02x, OCF:%04x
668 UPDATE_TWT_TSF  WLAN_LMAC: twt_wake_tsf: [%4x, %4x]
669 TX_UPDATE_BLOCK_Q_HW  WLAN_LMAC: Q Bitmap : %4x
670 CMD_DECODE_PROCESS_RESET_MAC  WLAN_LMAC:
671 CMD_DECODE_BB_RF_INIT  WLAN_LMAC:
672 CONFIGURE_PTA3WIRE  WLAN_LMAC: bitmap: %4x
673 CMD_DECODE_PROCESS_SCAN_REQ  WLAN_LMAC: Channel Number : %b
674 CMD_DECODE_PROCESS_SCAN_REQ_BGSCAN_TIMEOUT  WLAN_LMAC:
675 BGSCAN_BGSCAN_TIMEOUT  WLAN_LMAC:
676 BGSCAN_HOME_CHANNEL_TIMEOUT  WLAN_LMAC:
677 CMD_DECODE_INIT_11AX_LMAC_BBP_COPIED_VAP_MAC_TO_PPE  WLAN_LMAC: MAC_ADDRESS(0) :%2x, MAC_ADDRESS(1) :%2x, MAC_ADDRESS(2) :%2x
678 CMD_DECODE_SUPPORTED_STA_EXCEEDED  WLAN_LMAC: Station id : %d
679 CMD_DECODE_PROCESS_PEER_NOTIFY  WLAN_LMAC: Station id : %d
680 CMD_DECODE_WLAN_LAST_AP_ACTIVITY_STA_NOTIFY  WLAN_LMAC:
681 CMD_DECODE_WLAN_SW_DEINIT  WLAN_LMAC:
682 CMD_DECODE_PROCESS_BOOT_UP_PARAMS  WLAN_LMAC:
683 PROG_RADIO_PARAMS_FAILED_CAPS_NOT_VALID  WLAN_LMAC:
684 CMD_DECODE_PROCESS_RADIO_CAPABILITIES  WLAN_LMAC:
685 CMD_DECODE_UPDATE_RADIO_PARAMS  WLAN_LMAC:
686 CMD_DECODE_PROCESS_STA_STATS_REQ  WLAN_LMAC: gating_rssi : %1x, start_flag : %1x, drop_pkt_enable : %1x
687 CMD_DECODE_DISABLE_PER_RATE_STATS_COLLECTION  WLAN_LMAC:
688 SEND_CSI_FRAME_TO_PEER_NO_BUFFERS_AVAILABLE  WLAN_LMAC:
689 CSI_DATA_LATCH_TIMEOUT_HANDLER_DISABLED  WLAN_LMAC:
690 CMD_DECODE_CHECK_SCAN_STATE  WLAN_LMAC: scan_state : %1x
691 CMD_DECODE_PROCESS_ANT_SEL_FRAME  WLAN_LMAC: Frame_type : %b
692 CMD_DECODE_SENDING_NULL_FRAME_TO_STA  WLAN_LMAC:
693 CMD_DECODE_PROCESS_WLAN_9116_FEATURES_FRAME  WLAN_LMAC:
694 CMD_DECODE_PROCESS_ENHANCED_PWR_SAVE_PARAMS  WLAN_LMAC:
695 CMD_DECODE_PROCESS_REGION_BASED_PWR_TABLE_UPDATE  WLAN_LMAC:
696 CMD_DECODE_PROCESS_WLAN_NODE_SLOTTING_REQ  WLAN_LMAC:
697 CMD_DECODE_PROCESS_SET_KEY  WLAN_LMAC:
698 CMD_DECODE_PROCESS_REAL_TIME_STATS_REQ  WLAN_LMAC: stats_enable: %1x
699 UPDATE_TWT_BLOCK_Q_BITMAP  WLAN_LMAC: twt_block_q_bitmap : %4x
700 CMD_DECODE_PROCESS_TWT_PARAM_BCAST_TWT  WLAN_LMAC:
701 CMD_DECODE_PROCESS_VAP_CAPABILITIES  WLAN_LMAC: Sub type : %b, VIF type : %b
702 CMD_DECODE_PROCESS_PER_CMD_PKT  WLAN_LMAC: per_mode :%4x, rate_flags :%4x
703 CMD_DECODE_AVG_RSSI_MEASURED_FROM_BEACON  WLAN_LMAC: RSSI = %04x
704 BGSCAN_SERVICE_BG_SCAN  WLAN_LMAC:
705 BGSCAN_PROCESS_CANCEL_SCAN  WLAN_LMAC:
706 CMD_DECODE_PROCESS_BTR_PEER_RATE_BITMAP  WLAN_LMAC: Peer ID : %4x, Rate bitmap : %4x
707 CMD_DECODE_PROCESS_BTR_PEER_ADDED  WLAN_LMAC: MAC : %2x %2x %2x
708 CMD_DECODE_PROCESS_BTR_PEER_DELETED  WLAN_LMAC: MAC : %2x %2x %2x
709 CMD_DECODE_PROCESS_BTR_CONF_PARAMS  WLAN_LMAC: Retry : %1x
710 CMD_DECODE_PROCESS_BTR_CONF_PARAMS_CW_BE  WLAN_LMAC: CWMin: %1x, CWMax: %1x, AIFSN: %1x
711 CMD_DECODE_PROCESS_BTR_CONF_PARAMS_CW_BK  WLAN_LMAC: CWMin: %1x, CWMax: %1x, AIFSN: %1x
712 CMD_DECODE_PROCESS_BTR_CONF_PARAMS_CW_VI  WLAN_LMAC: CWMin: %1x, CWMax: %1x, AIFSN: %1x
713 CMD_DECODE_PROCESS_BTR_CONF_PARAMS_CW_VO  WLAN_LMAC: CWMin: %1x, CWMax: %1x, AIFSN: %1x
714 CMD_DECODE_KALIVE_IP  WLAN_LMAC: flags: %1x
715 CMD_DECODE_KALIVE_IP_IPV4_1  WLAN_LMAC: IPv4 %2x %2x %2x
716 CMD_DECODE_KALIVE_IP_IPV4_TAIL  WLAN_LMAC:  %2x
717 CMD_DECODE_KALIVE_IP_IPV6  WLAN_LMAC: IPv6 %2x %2x %2x
718 CMD_DECODE_KALIVE_IP_IPV6_1  WLAN_LMAC: %2x %2x %2x
719 CMD_DECODE_KALIVE_IP_IPV6_2  WLAN_LMAC: %2x %2x %2x
720 CMD_DECODE_KALIVE_IP_IPV6_3  WLAN_LMAC: %2x %2x %2x
721 CMD_DECODE_KALIVE_IP_IPV6_4  WLAN_LMAC: %2x %2x %2x
722 CMD_DECODE_KALIVE_IP_IPV6_TAIL  WLAN_LMAC:  %2x
723 CONNECTED_AP_REGION  WLAN_LMAC: AP region: %4x
724 MEM_MGMT_PKB_ALLOC_FAILED  WLAN_LMAC:
725 MEM_MGMT_RX_BUFFER_FULL_STATUS_UPDATED  WLAN_LMAC: Lmac mgmt stopped : %b
726 MEM_MGMT_UPDATE_BUFFER_STATUS  WLAN_LMAC: Buffer full status : %b
727 MEM_MGMT_RX_WMARK_LVL_LOW  WLAN_LMAC: data_stopped: %4x, mgmt_stopped: %4x
728 MEM_MGMT_RX_WMARK_LVL_HIGH_MGMT_DATA  WLAN_LMAC: data_stopped: %4x, mgmt_stopped: %4x
729 MEM_MGMT_RX_WMARK_LVL_HIGH_DATA  WLAN_LMAC: data_stopped: %4x, mgmt_stopped: %4x
730 PROTO_PS_XTND_WAKEUP_AS_ONAIR_TRAFFIC_HIGH  WLAN_LMAC:
731 PROTO_PS_BEACON_MISS_EVENT  WLAN_LMAC: Type : %b
732 ENABLE_PROTO_PS_STA_MODE_INACTIVE  WLAN_LMAC:
733 CCA_LOAD_TIMER_ENABLED  WLAN_LMAC: cca_timer_tsf: %4x
734 PROTO_PS_WAKEUP_WLAN  WLAN_LMAC: Beacon wait time : %4x
735 PROTO_PS_DEEP_SLEEP_WLAN_TX_PENDING  WLAN_LMAC:
736 PROTO_PS_DEEP_SLEEP_WLAN_RX_PENDING  WLAN_LMAC:
737 PROTO_PS_CONN_SLEEP_RADIO_OWNERSHIP_ERROR  WLAN_LMAC:
738 PS_INFORM_PKT_XMIT_FAILED_RETRY_NULL_DATA  WLAN_LMAC:
739 TX_CANCELLED_TRIGGER_PKT  WLAN_LMAC:
740 SCHEDULE_BEACON_OR_TWT_NO_BEACON_RCVD  WLAN_LMAC:
741 TWT_SUSPEND  WLAN_LMAC:
742 PROTO_PS_STOP_OR_START_DATA_RETRIEVAL  WLAN_LMAC: STOP_OR_START : %1x
743 PS_PROCESS_PS_REQ  WLAN_LMAC: ps_enable_disable : %b
744 DISABLE_DUTY_CYCLING_FAILED_AS_LMAC_DISABLED  WLAN_LMAC:
745 WLAN_RF_CONFIGURE_RF_MODE  WLAN_LMAC: rf_mode_to_switch : %4x, rf_mode_no_change : %4x
746 WLAN_RF_CONFIGURE_CHANNEL  WLAN_LMAC: Channel : %2x, Width : %2x
747 LMAC_EVENT_AP_PAUSE_REQ  WLAN_LMAC:
748 LMAC_ISR_WLAN_LAST_AP_ACTIVITY_BCON_RCV_RAM  WLAN_LMAC:
749 ANTENNA_DIVERSITY_DISABLED  WLAN_LMAC:
750 RX_NON_ROM_WLAN_LAST_AP_ACTIVITY_DATA_PKT  WLAN_LMAC:
751 RX_NON_ROM_WLAN_LAST_AP_ACTIVITY_CTRL_PKT  WLAN_LMAC:
752 RX_NON_ROM_MGMT_BEACON_CHANGED  WLAN_LMAC:
753 LMAC_RX_EVENT_DROP_PKT_BUF_FULL  WLAN_LMAC:
754 RX_ICV_MIC_ERR_GRP_KEYS_NOT_INSTALLED  WLAN_LMAC:
755 RX_ICV_MIC_ERR_UCAST_KEYS_NOT_INSTALLED  WLAN_LMAC:
756 RX_ICV_MIC_ERR_DECRYPT_ERROR  WLAN_LMAC:
757 RX_ICV_MIC_ERR_BCAST_MIC_ERR  WLAN_LMAC:
758 CMD_DECODE_KALIVE_SEND_IPV4_GAR  WLAN_LMAC:
759 CMD_DECODE_KALIVE_SEND_IPV6_NA  WLAN_LMAC:
760 CMD_DECODE_KALIVE_SEND_NULL  WLAN_LMAC:
761 UPDATE_TOTAL_PKTS_SIZE_IN_SW_Q  WLAN_LMAC: sw_q_no : %4x, pkt_len : %4x
762 TX_NON_ROM_WLAN_LAST_AP_ACTIVITY_XMIT_DONE  WLAN_LMAC:
763 TX_AGGR_PKT_AGGREGATION_FAILED  WLAN_LMAC:
764 TX_AGGR_PKT_AGGREGATION_DONE  WLAN_LMAC:
765 TX_CANCELLED_ON_AIR_PKT  WLAN_LMAC: Queue: %b
766 TX_START_XMIT_DROP_PKT  WLAN_LMAC:
767 TX_BGSCAN_PROBE_REQ_XMIT_DONE  WLAN_LMAC:
768 CMD_DECODE_PROCESS_CMD_PKT  WLAN_LMAC: cmd_type : %4x
769 TX_PROCESS_SW_QUEUE_DROP_UCAST_PKT_TO_UNCONNECTED_PEER  WLAN_LMAC:
770 AUTO_RATE_UPDATE_DOWN  WLAN_LMAC: RSSI : %d, RATE CODE : %4x
771 AUTO_RATE_UPDATE_UP  WLAN_LMAC: RSSI : %d, RATE CODE : %4x
772 TX_BB_PROG_UPDATE  WLAN_LMAC: Power Index: %2x, Rate Index: %4x
773 SEND_TX_DATA_STATUS_RX_BUFFER_FAIL  WLAN_LMAC:
774 COEX_RADIO_FAST_SWITCH_ENABLE  WLAN_LMAC:
775 COEX_RADIO_FAST_SWITCH_DISABLE  WLAN_LMAC:
776 WLAN_COEX_PAUSE_SEL_REG_VAL_BIT0_IS_NOT_ZERO  WLAN_LMAC:
777 WLAN_COEX_RESUME_SEL_REG_VAL_BIT0_IS_NOT_ZERO  WLAN_LMAC:
778 LMAC_HIL_LMAC_DISABLE_DONE_BY_PPE  WLAN_LMAC:
779 BGSCAN_PROBE_REQ_TIMEOUT  WLAN_LMAC:
780 LMAC_LOG_ADAPTIVE_ACCESS_DESENSE_EN  WLAN_LMAC: ED en evt:%d
781 LMAC_LOG_ADAPTIVE_ACCESS_DESENSE_DIS  WLAN_LMAC: ED dis evt:%d
782 THREADX_PORTING_TX_TIMER_INIT_ENTRY  WLAN_NETSTACK:
783 THREADX_PORTING_TX_TIMER_INIT_EXIT  WLAN_NETSTACK:
784 THREADX_PORTING_TX_INITIALIZE_KERNEL_ENTER_ENTRY  WLAN_NETSTACK:
785 THREADX_PORTING_TX_INITIALIZE_KERNEL_ENTER_EXIT  WLAN_NETSTACK:
786 BT_ENABLE_BBP_BRING_BASEBAND_IN_SOFT_RESET  WLAN_LMAC:
787 RECOVER_RF_PLL_LOCK_FAIL  WLAN_LMAC:
788 CRYPTO_HW_TEST_ENTRY  WLAN_NETSTACK:
789 CRYPTO_HW_TEST_MALLOC_FAIL_1  WLAN_NETSTACK:
790 CRYPTO_HW_TEST_EXIT_1  WLAN_NETSTACK:
791 CRYPTO_HW_TEST_INVALID_ALGORITHM_SUB_TYPE  WLAN_NETSTACK:
792 CRYPTO_HW_TEST_MALLOC_FAIL_2  WLAN_NETSTACK:
793 CRYPTO_HW_TEST_MALLOC_FAIL_5  WLAN_NETSTACK:
794 CRYPTO_HW_TEST_EXIT_3  WLAN_NETSTACK:
795 CRYPTO_HW_TEST_INVALID_OUTPUT_LENGTH_2  WLAN_NETSTACK:
796 CRYPTO_HW_TEST_MALLOC_FAIL_6  WLAN_NETSTACK:
797 CRYPTO_HW_TEST_MALLOC_FAIL_3  WLAN_NETSTACK:
798 CRYPTO_HW_TEST_EXIT_2  WLAN_NETSTACK:
799 CRYPTO_HW_TEST_INVALID_OUTPUT_LENGTH_1  WLAN_NETSTACK:
800 CRYPTO_HW_TEST_MALLOC_FAIL_4  WLAN_NETSTACK:
801 CRYPTO_HW_TEST_MALLOC_FAIL_7  WLAN_NETSTACK:
802 CRYPTO_HW_TEST_MALLOC_FAIL_8  WLAN_NETSTACK:
803 CRYPTO_HW_TEST_MALLOC_FAIL_9  WLAN_NETSTACK:
804 CRYPTO_HW_TEST_INVALID_ECDH_MODE  WLAN_NETSTACK:
805 CRYPTO_HW_TEST_INVALID_ECDH_TYPE  WLAN_NETSTACK:
806 CRYPTO_HW_TEST_MALLOC_FAIL_10  WLAN_NETSTACK:
807 CRYPTO_HW_TEST_INVALID_ALGORITHM_TYPE  WLAN_NETSTACK:
808 CRYPTO_HW_TEST_NOT_SUCCESSFUL  WLAN_NETSTACK:
